"","ID","Pregunta 1
","Pregunta 2
","Pregunta 3","Pregunta 32","Pregunta 4","Pregunta 5","Pregunta 6","Pregunta 7","Pregunta 8","Pregunta 9","Pregunta 10","Pregunta 11","Pregunta 12","Barrio Comuna 1","Barrio Comuna 9","Pregunta 13
","Pregunta 14
","Pregunta 15
","Pregunta 16","Ingreso","Pregunta 17","Pregunta 18","Pregunta 19
","Pregunta 20
","Pregunta 21
","Pregunta 22
","Pregunta 23
","Pregunta 24
","Pregunta 25
","Pregunta 26
","Pregunta 27
","Pregunta 28","Pregunta 29
","Pregunta 30","Pregunta 32
","Pregunta 33
","Pregunta 34
","Pregunta 35
","Pregunta 36
","Pregunta 37
","Pregunta 38","Pregunta 39","Pregunta 40","Pregunta 41
","Alcohol","Cafeína","Pregunta 43
","Pregunta 44
","Pregunta 45
","Pregunta 46
","Pregunta 47
","Pregunta 48
","Horario","Escenarios o espacios deportivos","Pregunta 50
","Hongos","Metanfetamina","Implementos","Nicotina","Ayahuasca","Cocaína","Participación comunitaria","Marihuana","Esteroides","Heroína","Capacitación sobre deporte, recreación o salud","Pregunta 51","Popper","Ampliación de oferta","Opiodes","Formador o profesor","Extasis","LSD","Tussi","Otras","Pregunta 52","Pregunta 53","Pregunta 54","IMC"
"11",224,"Acudiente","De 18 a 28",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Secundaria","Ama de casa / hombre de casa","1","2","Medellín","9-Buenos Aires ",NA,"Caicedo","2","13;","8;","NO",1500000,"SI","Emocional;","NO",NA,NA,NA,NA,NA,NA,NA,"6;",NA,"7","4 o más","NO","NO","SI","Durante;","Agua;","NO","Con sobrepeso",78,177,"7","Mensual","Semanal","SI","SI",NA,"4","5;","8;","5","5","Buena","No consume","No consume","5","No consume","No consume","No consume","5","No consume","No consume","No consume","5","NO","No consume","5","No consume","5","No consume","No consume","No consume","No consume","NO SÉ","NO","SI",24.9
"12",225,"Acudiente","De 18 a 28",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Ninguna","Secundaria","Ama de casa / hombre de casa","1","3","Medellín","9-Buenos Aires ",NA,"Caicedo","2","13;","8;","SI",NA,"SI","Emocional;Físico;Social;","NO",NA,NA,NA,NA,NA,NA,NA,"10;","Crear espacios de diálogo ciudadano;","3","3","SI","SI","NO","Durante;","Agua;Bebidas energizantes;","NO","Con sobrepeso",75,149,"6","No consume","No consume","SI","SI",NA,"6","4;","8;","5","5","Buena","No consume","No consume","5","No consume","No consume","No consume","5","No consume","No consume","No consume","5","NO","No consume","5","No consume","5","No consume","No consume","No consume","No consume","NO SÉ","SI","SI",33.78
"13",235,"Acudiente","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Técnico","Empleado (a)","1","3","Medellín","9-Buenos Aires ",NA,"Caicedo","2","13;","8;","NO",2e+06,"No es usuario del INDER Medellín",NA,"SI","Por cuenta propia","Dos veces","7;","7;","SI","Solo","17;",NA,NA,"1","3","SI","NO","SI","Durante;","Agua;","NO","Normal",52,153,"5","No consume","Diario","SI","NO","No me interesa","6","3;","9;","5","5","Excelente","No consume","No consume","5","No consume","No consume","No consume","5","No consume","No consume","No consume","5","NO","No consume","5","No consume","5","No consume","No consume","No consume","No consume","SI","NO","NO SÉ",22.21
"14",314,"Formador del INDER","De 29 a 59",NA,"Hombre","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Afrodescendiente, Mulato o Negro","Especialización","Empleado (a)","4 ó más","4 o más","Medellín","9-Buenos Aires ",NA,"Salvador","3","13;","8;","NO",6,"SI","Social;Emocional;","NO",NA,NA,NA,NA,NA,NA,NA,"1;6;",NA,"3","3","NO","NO","SI","Durante;","Agua;","NO","Con sobrepeso",95,186,"5","No consume","No consume","SI","SI",NA,"4","4;8;",NA,"4","4","Buena","No consume","No consume","3","No consume","No consume","No consume","4","No consume","No consume","No consume","4","SI","No consume","4","No consume","4","No consume","No consume","No consume","No consume","SI","SI","SI",27.46
"15",421,"Usuario del INDER","De 18 a 28",NA,"Mujer","Otra","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Afrodescendiente, Mulato o Negro","Secundaria","Ama de casa / hombre de casa","1","4 o más","Medellín","9-Buenos Aires ",NA,"Buenos Aires","1","11;","8;","NO",400,"NO",NA,"NO",NA,NA,NA,NA,NA,NA,NA,"10;",NA,"9","3","NO","NO","SI","Después;Durante;","Agua;","NO","Con sobrepeso",96,160,"5","No consume","Diario","SI","SI",NA,"4","5;8;","8;","5","1","Excelente","No consume","No consume","4","No consume","No consume","No consume","3","No consume","No consume","No consume","3","NO","No consume","4","No consume","4","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",37.5
"16",427,"Acudiente","De 18 a 28",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Casado(a) ","Blanco","Tecnológico","Ama de casa / hombre de casa","1","3","Medellín","9-Buenos Aires ",NA,"8 de Marzo","1","3;","8;","NO",1000,"SI","Emocional;Físico;Social;","NO",NA,NA,NA,NA,NA,NA,NA,"6;",NA,"5","3","SI","SI","SI","Durante;","Agua;","NO","Normal",69.5,167,"10","Mensual","No consume","SI","SI",NA,"4","3;","8;","5","5","Excelente","No consume","No consume","5","No consume","No consume","No consume","5","No consume","No consume","No consume","5","NO","No consume","3","No consume","5","No consume","No consume","No consume","No consume","SI","NO","NO",24.92
"17",456,"Usuario del INDER","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Tecnológico","Empleado (a)","2","3","Medellín","9-Buenos Aires ",NA,"Buenos Aires","2","13;","8;","NO",1,"SI","Emocional;Físico;Social;","SI","Dirigida","Dos veces","3;4;","4;9;10;","NO","Con amigos","9;",NA,NA,"1","4 o más","NO","NO","SI","Durante;","Agua;Bebidas hidratantes;","NO","Normal",57,150,"10","No consume","No consume","SI","SI",NA,"6","1;4;5;","8;","5","5","Buena","Quincenal","No consume","5","No consume","No consume","No consume","5","No consume","No consume","No consume","5","SI","No consume","5","No consume","5","No consume","No consume","No consume","No consume","SI","SI","SI",25.33
"18",503,"Acudiente","De 18 a 28",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Técnico","Ama de casa / hombre de casa","1","4 o más","Medellín","9-Buenos Aires ",NA,"Alejandro Echevarría","1","2;","8;","NO",1e+06,"SI","Físico;","SI","Ambas","Tres o más","4;","2;4;8;","SI","Con amigos","9;",NA,NA,"2","3","SI","SI","SI","Durante;","Agua;","NO","Con sobrepeso",80,160,"8","Mensual","Mensual","SI","SI",NA,"4","4;7;8;","8;","5","5","Excelente","No consume","No consume","5","No consume","No consume","No consume","5","No consume","No consume","No consume","5","NO","No consume","5","No consume","5","No consume","No consume","No consume","No consume","SI","NO","SI",31.25
"19",548,"Usuario del INDER","De 18 a 28",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Blanco","Tecnológico","Estudiante","1","4 o más","Medellín","9-Buenos Aires ",NA,"8 de Marzo","1","13;","8;","SI",6e+05,"SI","Emocional;Físico;","SI","Por cuenta propia","Dos veces","2;","2;","NO","Solo","16;",NA,NA,"12","3","NO","NO","SI","Después;","Agua;","NO","Normal",53,157,"5","No consume","Diario","SI","NO","No conozco la oferta","8","4;","8;","3","3","Buena","No consume","No consume","3","No consume","No consume","No consume","3","No consume","No consume","No consume","3","NO","No consume","3","No consume","3","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",21.5
"20",549,"Acudiente","De 18 a 28",NA,"Mujer","No deseo responder","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Otra","Técnico","Ama de casa / hombre de casa","1","4 o más","Medellín","9-Buenos Aires ",NA,"8 de Marzo","1","13;","1;","NO",150000,"No es usuario del INDER Medellín",NA,"SI","Ambas","Tres o más","4;","2;8;","NO","Solo","9;",NA,NA,"1","2","NO","NO","SI","Durante;","Agua;","SI","Normal",90,189,"10","No consume","No consume","SI","SI",NA,"1","1;","8;","5","5","Excelente","No consume","No consume","5","No consume","No consume","No consume","5","No consume","No consume","No consume","5","NO","No consume","5","No consume","5","No consume","No consume","No consume","No consume","SI","NO","SI",25.2
"21",574,"Usuario del INDER","De 18 a 28",NA,"Hombre","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Blanco","Secundaria","Empleado (a)","Ninguno (a)","4 o más","Medellín","9-Buenos Aires ",NA,"Caicedo","1","13;","8;","SI",1500000,"SI","Físico;Emocional;Social;","SI","Ambas","Tres o más","1;2;4;","3;4;6;","NO","Con la familia","9;",NA,NA,"2","3","SI","SI","SI","Durante;Después;Antes;","Agua;Bebidas energizantes;Bebidas hidratantes;","NO","Delgado",65,180,"5","No consume","Semanal","SI","SI",NA,"4","1;6;7;","8;","4","5","Excelente","Quincenal","No consume","4","No consume","No consume","No consume","5","No consume","No consume","No consume","5","NO","No consume","5","No consume","5","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",20.06
"22",587,"Usuario del INDER","De 29 a 59",NA,"Hombre","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Primaria","Desempleado (a)","Ninguno (a)","4 o más","Medellín","9-Buenos Aires ",NA,"Salvador","3","5;","5;","NO",1e+06,"SI","Físico;Emocional;Social;","NO",NA,NA,NA,NA,NA,NA,NA,"6;","Presencia de la policía;","8","4 o más","NO","NO","SI","Durante;","Agua;","NO","Con sobrepeso",80,180,"8","No consume","Diario","SI","SI",NA,"3","3;4;5;","8;","5","4","Buena","No consume","No consume","5","No consume","No consume","No consume","4","No consume","No consume","No consume","4","NO","No consume","4","No consume","5","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",24.69
"23",593,"Usuario del INDER","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Primaria","Desempleado (a)","Ninguno (a)","3","Medellín","9-Buenos Aires ",NA,"Salvador","3","13;","5;","NO",1e+06,"SI","Emocional;Físico;Social;","SI","Dirigida","Tres o más","4;","1;6;10;","NO","Con amigos","9;",NA,NA,"2","4 o más","NO","NO","SI","Antes;Durante;","Agua;","NO","Normal",70,160,"8","No consume","Diario","SI","SI",NA,"4","4;5;","8;","5","4","Buena","No consume","No consume","4","No consume","No consume","No consume","3","No consume","No consume","No consume","3","NO","No consume","4","No consume","5","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",27.34
"24",647,"No es usuario del INDER","De 18 a 28",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Secundaria","Ama de casa / hombre de casa","1","4 o más","Medellín","9-Buenos Aires ",NA,"Caicedo","1","13;","8;","SI",1300000,"No es usuario del INDER Medellín",NA,"SI","Por cuenta propia","Dos veces","4;8;","1;","NO","Con pareja/cónyuge/novio(a)","13;",NA,NA,"2","2","NO","NO","SI","Durante;","Agua;","NO","Con sobrepeso",71,152,"8","No consume","No consume","SI","NO","No conozco la oferta","10","3;4;8;","8;","4","5","Excelente","No consume","No consume","5","No consume","No consume","No consume","5","No consume","No consume","No consume","5","NO","No consume","5","No consume","5","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",30.73
"25",702,"Usuario del INDER","De 18 a 28",NA,"Hombre","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Pregrado","Estudiante","Ninguno (a)","2","Medellín","9-Buenos Aires ",NA,"Caicedo","2","13;","2;","NO",3e+05,"SI","Emocional;Físico;","SI","Por cuenta propia","Una vez","8;","4;9;","SI","Con amigos","16;",NA,NA,"2","4 o más","SI","NO","NO","Después;Durante;","Agua;","NO","Delgado",69,80,"7","Mensual","Semanal","SI","SI",NA,"2","4;8;","1;","3","4","Buena","No consume","No consume",NA,"No consume","No consume","No consume","3","No consume","No consume","No consume","2","SI","No consume","5","No consume","4","No consume","No consume","No consume","No consume","NO","NO","NO SÉ",107.81
"26",728,"Usuario del INDER","De 29 a 59",NA,"Hombre","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Afrodescendiente, Mulato o Negro","Tecnológico","Otra","Ninguno (a)","Solo (a)","Medellín","9-Buenos Aires ",NA,"Miraflores","4","13;","8;","NO",2e+06,"SI","Emocional;Físico;Social;","SI","Dirigida","Tres o más","4;8;9;","4;9;10;","SI","Con amigos","9;11;13;",NA,NA,"3","3","SI","NO","SI","Durante;Antes;Después;","Agua;","SI","Normal",75,170,"3","No consume","Quincenal","SI","SI",NA,"2","2;4;5;","8;","4","4","Por mejorar","No consume","No consume","3","No consume","No consume","No consume","4","No consume","No consume","No consume","3","NO","No consume","1","No consume","4","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",25.95
"27",737,"Usuario del INDER","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Blanco","Pregrado","Otra","1","2","Medellín","9-Buenos Aires ",NA,"Buenos Aires","3","12;","8;","SI",3e+06,"SI","Emocional;Físico;Social;","SI","Ambas","Dos veces","4;","4;","NO","Solo","9;",NA,NA,"1","4 o más","NO","NO","SI","Durante;Después;","Bebidas hidratantes;","NO","Normal",62,157,"7","Mensual","Diario","SI","SI",NA,"5","4;5;8;","8;","3","4","Buena","Mensual","No consume","4","No consume","No consume","No consume",NA,"No consume","No consume","No consume","4","NO","No consume","2","No consume","4","No consume","No consume","No consume","No consume","NO SÉ","NO","SI",25.15
"28",790,"Usuario del INDER","De 18 a 28",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Ninguna","Técnico","Empleado (a)","Ninguno (a)","4 o más","Medellín","9-Buenos Aires ",NA,"Salvador","3","13;","8;","NO",5e+06,"SI","Social;","NO",NA,NA,NA,NA,NA,NA,NA,"6;8;","Presencia de la Policía;","6","3","SI","SI","NO","Después;","Agua;","NO","Con sobrepeso",85,168,"3","Quincenal","Diario","SI","SI",NA,"6","3;5;6;","9;","3","3","Buena","No consume","No consume","3","Semanal","No consume","No consume","3","No consume","No consume","No consume","2","NO","No consume","2","No consume","4","No consume","No consume","No consume","No consume","NO SÉ","SI","SI",30.12
"29",937,"No es usuario del INDER","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Casado(a) ","Mestizo","Secundaria","Ama de casa / hombre de casa","4 ó más","4 o más","Medellín","9-Buenos Aires ",NA,"Caicedo","1","13;","8;","NO",300,"No es usuario del INDER Medellín",NA,"SI","Por cuenta propia","Una vez","1;","1;","NO","Con la familia","16;",NA,NA,"2","3","SI","SI","SI","Después;","Agua;","NO","Delgado",45,130,"6","Quincenal","Diario","NO",NA,NA,NA,NA,NA,NA,NA,NA,"No consume","No consume",NA,"No consume","No consume","No consume",NA,"No consume","No consume","No consume",NA,"NO","No consume",NA,"No consume",NA,"No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",26.63
"30",960,"Usuario del INDER","De 29 a 59",NA,"Mujer","Gay/Lesbiana (Atracción hacia el mismo sexo)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Ninguna","Secundaria","Empleado (a)","Ninguno (a)","2","Medellín","9-Buenos Aires ",NA,"Loreto","2","13;","8;","NO",6e+05,"SI","Emocional;","SI","Ambas","Tres o más","3;","1;","SI","Solo","13;",NA,NA,"2","2","NO","SI","SI","Antes;Durante;Después;","Agua;","NO","Con sobrepeso",62,163,"3","Quincenal","Diario","SI","NO","Incompatibilidad horaria",NA,NA,NA,NA,NA,NA,"No consume","No consume",NA,"No consume","No consume","No consume",NA,"No consume","No consume","No consume",NA,"NO","No consume",NA,"No consume",NA,"No consume","No consume","No consume","No consume","SI","SI","SI",23.34
"31",989,"Usuario del INDER","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Secundaria","Ama de casa / hombre de casa","4 ó más","4 o más","Medellín","9-Buenos Aires ",NA,"Loreto","2","2;5;","5;","NO",1e+06,"SI","Emocional;Físico;Social;","NO",NA,NA,NA,NA,NA,NA,NA,"6;","Presencia de la Policía;","5","2","NO","NO","NO","Antes;Después;","Agua;","NO","Con sobrepeso",70,150,"7","No consume","Diario","SI","SI",NA,"4","4;5;","5;6;","5","5","Regular","No consume","No consume","4","No consume","No consume","No consume","5","No consume","No consume","No consume","3","NO","No consume","4","No consume","5","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",31.11
"32",992,"Usuario del INDER","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Casado(a) ","Mestizo","Primaria","Ama de casa / hombre de casa","1","2","Medellín","9-Buenos Aires ",NA,"Loreto","1","4;8;","6;","NO",1e+06,"SI","Social;Emocional;Físico;","NO",NA,NA,NA,NA,NA,NA,NA,"6;","Presencia de la Policía;","5","3","NO","NO","SI","Antes;Después;","Agua;","NO","Con sobrepeso",73,150,"7","No consume","Diario","SI","SI",NA,"8","4;5;","5;","5","5","Buena","No consume","No consume","4","No consume","No consume","No consume","5","No consume","No consume","No consume","3","NO","No consume","5","No consume","5","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",32.44
"33",996,"Usuario del INDER","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Secundaria","Ama de casa / hombre de casa","3","2","Medellín","9-Buenos Aires ",NA,"Loreto","2","1;5;","6;","NO",1e+06,"SI","Emocional;Físico;Social;","NO",NA,NA,NA,NA,NA,NA,NA,"6;","Presencia de la Policía;","8","4 o más","NO","NO","SI","Después;","Agua;","NO","Con obesidad mórbida",77,155,"9","No consume","Diario","SI","SI",NA,"4","4;","5;","3","4","Buena","No consume","No consume","4","No consume","No consume","No consume","4","No consume","No consume","No consume","3","NO","No consume","4","No consume","5","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",32.05
