"","Lácteos y derivados ","Carnes (res, cerdo, pollo, pescado) ","Cereales (arroz, pasta, avena, quinoa) ","Productos cárnicos (chorizos, salchichas, jamón, morcilla, etc). ","Aceites y grasas (aceite de canola, aceite de oliva, aceite de ajonjolí, aceite de aguacate, aguacate, aceitunas) ","Leguminosas (frijol, garbanzo, lenteja, etc) ","Raíces, tubérculos y plátanos (Arracacha, batata, ñame, yuca, papa) ","Frutas (Banano, borojo, chontaduro, manzana, mango)","Verduras","Comidas rápidas(perro, pizza, hamburguesa,etc) ","Snacks o productos de paquete ","Dulces, postres y golosinas","Gaseosas"
"1","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Diario","Diario","Mensual","No consume","No consume","No consume"
"2","Diario","Diario","Mensual","Mensual","Mensual","Mensual","Mensual","Diario","Diario","Mensual","Mensual","Mensual","Mensual"
"3","Semanal","Quincenal","Diario","Quincenal","Diario","Semanal","Semanal","Semanal","Semanal","No consume","Mensual","Mensual","Mensual"
"4","Diario","Semanal","Diario","Semanal","Semanal","Quincenal","Diario","Diario","Diario","Quincenal","Semanal","Semanal","Mensual"
"5","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Quincenal","Quincenal","Semanal","Semanal"
"6","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Semanal","Diario","Diario","Semanal"
"7","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","No consume","No consume","No consume","No consume"
"8","Diario","Diario","Semanal","Semanal","Diario","Diario","Diario","Diario","Diario","Quincenal","Semanal","Quincenal","No consume"
"9","Diario","Semanal","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Mensual","Semanal","Semanal","Semanal"
"10","Diario","Diario","Diario","Semanal","Diario","Semanal","Mensual","Diario","Diario","Mensual","Mensual","Semanal","Semanal"
"11","Diario","Diario","Diario","Semanal","No consume","Semanal","Semanal","Diario","Diario","Quincenal","Semanal","Semanal","Mensual"
"12","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal"
"13","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Semanal","Semanal","Semanal"
"14","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","Quincenal","Semanal","Quincenal","Quincenal"
"15","Semanal","Semanal","Diario","Quincenal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Diario","Quincenal"
"16","Diario","Diario","Diario","Diario","Diario","Diario","Mensual","Diario","Diario","Mensual","Quincenal","Mensual","Mensual"
"17","Diario","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","No consume"
"18","Quincenal","Quincenal","Diario","Quincenal","Diario","Diario","Semanal","Mensual","Semanal","No consume","No consume","No consume","No consume"
"19","Diario","Diario","Diario","Quincenal","Diario","Semanal","Semanal","Diario","Semanal","Quincenal","Mensual","Mensual","Mensual"
"20","Diario","Diario","Semanal","Mensual","Diario","Semanal","Semanal","No consume","Semanal","Mensual","Mensual","Mensual","No consume"
"21","Semanal","Diario","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Mensual","Mensual","Mensual","Mensual"
"22","Diario","Diario","Diario","Quincenal","Diario","Semanal","Mensual","Diario","Semanal","Mensual","No consume","Mensual","No consume"
"23","Diario","Semanal","Semanal","Semanal","Diario","Semanal","Semanal","Diario","Diario","Mensual","Semanal","Mensual","No consume"
"24","Semanal","Diario","Semanal","No consume","Semanal","Semanal","Quincenal","Diario","Diario","No consume","Mensual","No consume","No consume"
"25","Quincenal","Quincenal","Diario","No consume","Diario","Quincenal","Quincenal","No consume","Quincenal","Mensual","Quincenal","Semanal","Semanal"
"26","Semanal","Semanal","Diario","Quincenal","Semanal","Semanal","Diario","Semanal","Semanal","Mensual","Mensual","Diario","Semanal"
"27","Semanal","Diario","Diario","Quincenal","Diario","Semanal","Semanal","Diario","Diario","Mensual","Mensual","Mensual","Mensual"
"28","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario"
"29","Semanal","Diario","Diario","Quincenal","Semanal","Semanal","Semanal","Diario","Semanal","Quincenal","Mensual","Quincenal","Mensual"
"30","Semanal","Diario","No consume","Mensual","No consume","Semanal","Semanal","Quincenal","Semanal","Mensual","Mensual","Mensual","Semanal"
"31","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","Quincenal","Quincenal","Diario","Semanal"
"32","Diario","Diario","Semanal","Semanal","Diario","Mensual","Semanal","Diario","Diario","No consume","No consume","Mensual","No consume"
"33","Semanal","Semanal","Diario","Semanal","Semanal","Diario","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Semanal"
"34","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Quincenal","Semanal","Semanal","No consume"
"35","Semanal","Semanal","Diario","Quincenal","No consume","Semanal","Diario","Semanal","Diario","No consume","No consume","No consume","No consume"
"36","Diario","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Quincenal"
"37","Semanal","Diario","Quincenal","Mensual","Mensual","Quincenal","Diario","Mensual","Diario","Mensual","Mensual","No consume","No consume"
"38","Diario","Diario","Mensual","Mensual","Quincenal","Diario","Diario","Diario","Diario","No consume","No consume","No consume","Mensual"
"39","Diario","Diario","Diario","Semanal","Mensual","Quincenal","Diario","Semanal","Mensual","Semanal","Semanal","Semanal","Semanal"
"40","Diario","Quincenal","Diario","Mensual","Diario","Quincenal","Semanal","Diario","Semanal","Quincenal","Semanal","Semanal","Quincenal"
"41","Semanal","No consume","Semanal","Diario","Semanal","Diario","Diario","Semanal","Diario","Semanal","Diario","No consume","Diario"
"42","Diario","Semanal","Diario","No consume","Semanal","Semanal","Semanal","Semanal","Semanal","Quincenal","Quincenal","Mensual","Quincenal"
"43","Semanal","Semanal","Diario","Mensual","Diario","Quincenal","Semanal","Diario","Semanal","Mensual","Quincenal","Quincenal","No consume"
"44","Diario","Diario","Semanal","Semanal","Diario","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","Diario"
"45","Semanal","Semanal","Diario","Semanal","No consume","Diario","Diario","Semanal","Diario","Mensual","Mensual","Semanal","Semanal"
"46","Diario","Semanal","Diario","Semanal","No consume","Semanal","No consume","Quincenal","No consume","Quincenal","Quincenal","Semanal","Semanal"
"47","Semanal","Diario","Diario","Diario","Diario","Diario","Semanal","No consume","No consume","Diario","Diario","Diario","Diario"
"48","Semanal","Diario","Diario","Semanal","Quincenal","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal"
"49","Semanal","Quincenal","Semanal","Mensual","Semanal","Semanal","Semanal","Diario","Diario","Mensual","Mensual","Quincenal","No consume"
"50","Semanal","Diario","Diario","Semanal","Mensual","Semanal","Semanal","Quincenal","Semanal","Quincenal","Quincenal","Semanal","Mensual"
"51","Semanal","Quincenal","Mensual","Mensual","No consume","Diario","No consume","Mensual","No consume","No consume","Mensual","Mensual","No consume"
"52","Diario","Semanal","Diario","Diario","No consume","Mensual","Semanal","Mensual","Semanal","No consume","Semanal","Mensual","Mensual"
"53","Diario","Semanal","Semanal","Semanal","Semanal","Quincenal","Diario","Quincenal","Diario","Mensual","Mensual","Mensual","Quincenal"
"54","Diario","Diario","Diario","Quincenal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Semanal","Mensual","Semanal"
"55","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Quincenal","Semanal","Quincenal","Mensual","Quincenal","Quincenal"
"56","Diario","Diario","No consume","No consume","Semanal","No consume","No consume","Semanal","Diario","Semanal","No consume","No consume","No consume"
"57","Diario","Diario","Quincenal","Mensual","Diario","Mensual","Mensual","Semanal","Diario","Quincenal","Quincenal","Semanal","Quincenal"
"58","Quincenal","Quincenal","Diario","Quincenal","Diario","Semanal","Quincenal","No consume","Diario","No consume","No consume","No consume","No consume"
"59","Semanal","Diario","Diario","Semanal","Quincenal","Semanal","Quincenal","Diario","Diario","Quincenal","Quincenal","Mensual","Quincenal"
"60","Quincenal","Semanal","Diario","Quincenal","Diario","Quincenal","Semanal","Quincenal","Quincenal","Mensual","Mensual","Mensual","Mensual"
"61","Diario","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Mensual","Semanal","Semanal","Semanal"
"62","Diario","Semanal","Diario","No consume","Diario","No consume","Semanal","Semanal","Diario","Mensual","Mensual","Semanal","No consume"
"63","Diario","Diario","Diario","Quincenal","Semanal","Mensual","Semanal","Semanal","Diario","Quincenal","Diario","Diario","Quincenal"
"64","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Mensual","Mensual","Mensual"
"65","Semanal","Semanal","Diario","Quincenal","Semanal","Diario","Semanal","Semanal","Semanal","Quincenal","Mensual","Semanal","Semanal"
"66","Semanal","Semanal","Diario","Semanal","Quincenal","Diario","Diario","Diario","Diario","Quincenal","Semanal","No consume","Quincenal"
"67","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Quincenal","Semanal","Mensual","No consume"
"68","Diario","Diario","Semanal","Semanal","Diario","Diario","Diario","Semanal","Diario","Quincenal","Quincenal","Semanal","Mensual"
"69","Semanal","Diario","Semanal","Semanal","Semanal","Quincenal","Quincenal","Diario","Diario","Mensual","Quincenal","Quincenal","No consume"
"70","Diario","Diario","No consume","Semanal","Diario","No consume","No consume","No consume","Diario","Semanal","No consume","Quincenal","No consume"
"71","Diario","Diario","Diario","Semanal","No consume","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","No consume"
"72","Diario","Semanal","Diario","Semanal","Diario","Diario","Semanal","Diario","Diario","Semanal","Quincenal","Semanal","No consume"
"73","Semanal","Diario","Semanal","No consume","Semanal","Semanal","Semanal","Diario","Diario","Mensual","Quincenal","Mensual","Mensual"
"74","Semanal","Diario","Diario","Mensual","Diario","Mensual","Diario","Diario","Diario","Semanal","Semanal","Diario","Semanal"
"75","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Diario","Semanal","Mensual","Quincenal","Mensual"
"76","Diario","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Quincenal","Quincenal","Quincenal","Semanal"
"77","Diario","Semanal","Diario","Diario","Diario","Semanal","Semanal","Diario","Quincenal","Semanal","No consume","Quincenal","Diario"
"78","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Quincenal","Semanal","Semanal","Quincenal"
"79","Semanal","Diario","Diario","Mensual","Diario","Semanal","Semanal","Diario","Diario","Mensual","No consume","Mensual","No consume"
"80","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Quincenal","Quincenal","No consume","No consume"
"81","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Quincenal","Semanal","Semanal","Quincenal"
"82","Semanal","Semanal","Diario","Quincenal","Diario","Diario","Diario","Semanal","Diario","Quincenal","Mensual","Mensual","No consume"
"83","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Quincenal","Diario","Semanal","Semanal","Mensual","No consume"
"84","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Quincenal"
"85","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Semanal","Diario","Quincenal","Mensual","Semanal","Quincenal"
"86","Diario","Diario","Diario","Quincenal","No consume","Semanal","Semanal","Semanal","Semanal","Mensual","No consume","Mensual","Quincenal"
"87","Diario","Semanal","Diario","Quincenal","Diario","Semanal","Diario","Semanal","Semanal","No consume","No consume","Quincenal","Semanal"
"88","Diario","Diario","Diario","Quincenal","Diario","Diario","Diario","Quincenal","Quincenal","Mensual","Mensual","No consume","No consume"
"89","Diario","Diario","Diario","Semanal","Mensual","Semanal","Semanal","Diario","Diario","Mensual","Mensual","Mensual","Quincenal"
"90","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Semanal"
"91","Diario","Diario","Diario","Mensual","No consume","Mensual","Mensual","Diario","Quincenal","Semanal","Semanal","Semanal","No consume"
"92","Mensual","Diario","Quincenal","No consume","No consume","Mensual","No consume","Diario","Diario","No consume","No consume","No consume","No consume"
"93","Mensual","Diario","Semanal","Mensual","Mensual","Mensual","Semanal","Semanal","Semanal","Mensual","Mensual","Mensual","No consume"
"94","Semanal","Semanal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Diario","Mensual","No consume","Quincenal","No consume"
"95","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Diario","Mensual","Mensual","Quincenal","Mensual"
"96","Diario","Diario","Quincenal","Mensual","Diario","Quincenal","Semanal","Quincenal","Semanal","No consume","Mensual","No consume","Mensual"
"97","Diario","Diario","Diario","Quincenal","Diario","Semanal","Semanal","Diario","Diario","Mensual","No consume","Semanal","No consume"
"98","Quincenal","Mensual","Semanal","Quincenal","Semanal","Semanal","Semanal","Quincenal","Diario","No consume","No consume","Mensual","No consume"
"99","Diario","Semanal","Diario","No consume","Diario","Diario","Diario","Diario","Semanal","No consume","No consume","No consume","No consume"
"100","Diario","Diario","Diario","Quincenal","No consume","Quincenal","Diario","Quincenal","Mensual","No consume","Diario","Diario","Mensual"
"101","Diario","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Diario","Diario","No consume","No consume","No consume","No consume"
"102","Diario","Semanal","Diario","No consume","No consume","Semanal","Diario","Semanal","Diario","No consume","No consume","Mensual","No consume"
"103","Semanal","Diario","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Semanal","Semanal","Diario","Quincenal"
"104","Diario","Semanal","Diario","Mensual","Diario","Diario","Diario","Semanal","Semanal","Mensual","Mensual","No consume","No consume"
"105","Diario","Semanal","Diario","Quincenal","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario"
"106","Diario","Diario","Diario","Semanal","No consume","Semanal","Diario","Diario","Diario","Quincenal","Semanal","Semanal","No consume"
"107","Semanal","Diario","Diario","No consume","No consume","Diario","Diario","Diario","Diario","Mensual","No consume","Mensual","No consume"
"108","Diario","Semanal","Diario","Semanal","Diario","Semanal","Diario","Semanal","Diario","Quincenal","Quincenal","Quincenal","Mensual"
"109","Diario","Diario","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Quincenal"
"110","Mensual","Semanal","Quincenal","No consume","Diario","Quincenal","Semanal","Diario","Diario","Mensual","No consume","No consume","No consume"
"111","Diario","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Semanal"
"112","Semanal","Semanal","Diario","Mensual","Diario","Semanal","Semanal","Semanal","Semanal","Mensual","Mensual","Mensual","Mensual"
"113","Diario","Semanal","Diario","No consume","Quincenal","Semanal","Semanal","Semanal","Diario","No consume","Mensual","Mensual","No consume"
"114","Diario","Semanal","Diario","Quincenal","No consume","Semanal","Semanal","Mensual","Semanal","No consume","Quincenal","No consume","No consume"
"115","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Mensual","Mensual","Mensual","No consume"
"116","Quincenal","Semanal","Diario","No consume","Diario","Semanal","Semanal","No consume","No consume","Mensual","Semanal","Mensual","Semanal"
"117","Diario","Diario","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Quincenal","Semanal","Diario","Semanal"
"118","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Semanal","Semanal","Mensual","Quincenal","Quincenal","Semanal"
"119","Semanal","Mensual","Semanal","No consume","Mensual","Semanal","Quincenal","Mensual","Quincenal","No consume","No consume","No consume","Mensual"
"120","Diario","Diario","Diario","Semanal","Diario","Mensual","Diario","Semanal","Semanal","Quincenal","Diario","Diario","Diario"
"121","Quincenal","Mensual","Semanal","Mensual","Mensual","Diario","Quincenal","No consume","Semanal","No consume","No consume","No consume","No consume"
"122","Diario","Diario","Diario","Quincenal","Mensual","Semanal","Diario","Semanal","Diario","Mensual","Mensual","Mensual","Mensual"
"123","Diario","Diario","Diario","Mensual","Diario","Diario","Diario","Diario","Diario","Semanal","Semanal","No consume","Mensual"
"124","Diario","Diario","Diario","Diario","No consume","Semanal","Semanal","Semanal","Semanal","Quincenal","Semanal","Semanal","Quincenal"
"125","Diario","Diario","Semanal","Quincenal","Semanal","Semanal","Mensual","Diario","Diario","No consume","No consume","Mensual","Quincenal"
"126","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Semanal","Diario","Quincenal","Semanal","Semanal","Semanal"
"127","Semanal","Diario","Semanal","No consume","Diario","Diario","Semanal","Diario","Diario","Semanal","Quincenal","No consume","Diario"
"128","Diario","Diario","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Semanal","Semanal","Semanal","Quincenal"
"129","Diario","Quincenal","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Quincenal","Semanal","Quincenal","No consume"
"130","Semanal","Diario","Diario","Semanal","Diario","Diario","Semanal","Diario","Diario","Mensual","Mensual","Mensual","No consume"
"131","Semanal","Semanal","Semanal","Mensual","Semanal","Quincenal","Semanal","Semanal","Semanal","Mensual","Mensual","Mensual","Mensual"
"132","Mensual","Mensual","Diario","No consume","Diario","Diario","Diario","Quincenal","Diario","No consume","No consume","Mensual","No consume"
"133","Semanal","Semanal","Semanal","No consume","No consume","Semanal","Diario","Quincenal","Diario","No consume","No consume","No consume","Mensual"
"134","Diario","Semanal","Diario","Mensual","Diario","Diario","Diario","Diario","Diario","Mensual","Quincenal","Quincenal","Quincenal"
"135","Quincenal","Quincenal","Diario","Quincenal","Quincenal","Semanal","Semanal","Quincenal","Quincenal","Mensual","Mensual","Mensual","Mensual"
"136","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Semanal","Semanal","Semanal","Mensual"
"137","Mensual","Quincenal","Quincenal","Quincenal","Quincenal","Mensual","Quincenal","Quincenal","Quincenal","Mensual","Mensual","Mensual","Mensual"
"138","Quincenal","Quincenal","Diario","Quincenal","Diario","Quincenal","Diario","Quincenal","Diario","Semanal","Semanal","Diario","Diario"
"139","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Mensual"
"140","Diario","Diario","Diario","Quincenal","Diario","Semanal","Diario","Semanal","Diario","No consume","Mensual","Semanal","Mensual"
"141","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Mensual","Mensual","Mensual","Mensual"
"142","Diario","Diario","Diario","Diario","Diario","Semanal","Semanal","Diario","Diario","Mensual","Mensual","Mensual","Semanal"
"143","Semanal","Diario","Diario","Semanal","Diario","Diario","Diario","Quincenal","Semanal","Mensual","Semanal","Mensual","Semanal"
"144","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Semanal","Semanal","Quincenal","Quincenal","Quincenal","Quincenal"
"145","Semanal","No consume","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal","No consume","No consume","Quincenal","No consume"
"146","Quincenal","Quincenal","Diario","Mensual","No consume","Semanal","Semanal","Semanal","Semanal","Mensual","Quincenal","Quincenal","Mensual"
"147","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario"
"148","No consume","Diario","Diario","No consume","Diario","Semanal","No consume","No consume","No consume","Mensual","No consume","Mensual","Semanal"
"149","Semanal","Diario","Semanal","Semanal","No consume","Diario","Diario","Semanal","Diario","Mensual","Quincenal","Quincenal","Mensual"
"150","Semanal","Mensual","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Quincenal","Semanal","Diario","Diario"
"151","Diario","Diario","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Mensual","Semanal","Quincenal","Quincenal"
"152","Diario","Diario","Diario","Diario","Diario","Diario","Semanal","Diario","Diario","No consume","Diario","Diario","No consume"
"153","Semanal","Quincenal","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Diario","Semanal","Diario","Diario","Semanal"
"154","Semanal","Quincenal","Diario","Quincenal","No consume","Semanal","Semanal","Quincenal","Semanal","Mensual","Mensual","Mensual","No consume"
"155","Mensual","Semanal","Diario","Quincenal","Semanal","Semanal","Quincenal","Semanal","Semanal","Mensual","Mensual","Mensual","Mensual"
"156","Semanal","Diario","Mensual","Semanal","Diario","Diario","Mensual","Mensual","Diario","Semanal","Mensual","Semanal","Mensual"
"157","Diario","Diario","Diario","Mensual","Mensual","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario"
"158","Semanal","Semanal","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Quincenal","Semanal","Semanal","No consume"
"159","Semanal","Semanal","Diario","Diario","Mensual","Quincenal","Diario","Quincenal","Semanal","Mensual","Mensual","Quincenal","Mensual"
"160","Semanal","Diario","Diario","Quincenal","No consume","Semanal","Quincenal","Semanal","Diario","No consume","Mensual","Mensual","Mensual"
"161","Quincenal","Semanal","Semanal","Quincenal","No consume","Semanal","No consume","Semanal","Semanal","Quincenal","No consume","Quincenal","Quincenal"
"162","Quincenal","Diario","Quincenal","No consume","Semanal","Semanal","Diario","Diario","Diario","Mensual","Mensual","Mensual","Mensual"
"163","Diario","Diario","Mensual","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","No consume"
"164","Diario","Diario","Diario","Semanal","Diario","Semanal","Mensual","Semanal","Semanal","No consume","No consume","Quincenal","Mensual"
"165","Diario","Diario","Diario","Diario","Diario","Diario","Quincenal","Mensual","Mensual","Mensual","Diario","Mensual","Mensual"
"166","Semanal","Quincenal","Diario","Quincenal","No consume","Quincenal","Mensual","Semanal","Semanal","Mensual","No consume","No consume","No consume"
"167","Semanal","Semanal","Mensual","No consume","No consume","Diario","Quincenal","Mensual","Diario","No consume","No consume","No consume","Mensual"
"168","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","No consume","Diario","Mensual","No consume"
"169","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Quincenal","Quincenal","No consume","No consume"
"170","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Semanal","Diario","Semanal","Quincenal","Quincenal","Quincenal"
"171","Semanal","Semanal","Diario","Semanal","Diario","Diario","Diario","Semanal","Diario","Mensual","No consume","No consume","No consume"
"172","Diario","Quincenal","Diario","No consume","Diario","Diario","Diario","Diario","Diario","No consume","Semanal","Diario","No consume"
"173","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","Mensual","Semanal","Semanal","Semanal"
"174","Diario","Semanal","Diario","No consume","No consume","Mensual","Quincenal","No consume","Semanal","No consume","Mensual","Mensual","No consume"
"175","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Semanal","Quincenal","Quincenal","Diario","No consume"
"176","Diario","Diario","Diario","Semanal","Semanal","Diario","Diario","Diario","Diario","Mensual","Semanal","Semanal","Mensual"
"177","Quincenal","Diario","Diario","No consume","Semanal","Diario","Quincenal","Quincenal","Diario","Mensual","No consume","Quincenal","No consume"
"178","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Quincenal","Quincenal","Quincenal","No consume"
"179","Semanal","Semanal","Diario","Mensual","No consume","Semanal","Semanal","Quincenal","Diario","Mensual","No consume","Mensual","Mensual"
"180","Diario","Diario","Diario","Semanal","Semanal","Semanal","Diario","Diario","Diario","No consume","Semanal","Semanal","No consume"
"181","Semanal","Semanal","Diario","Semanal","Mensual","Semanal","Semanal","Semanal","Semanal","No consume","No consume","Mensual","Mensual"
"182","Semanal","Semanal","Semanal","No consume","Semanal","Quincenal","Quincenal","Semanal","Diario","No consume","No consume","Quincenal","No consume"
"183","Diario","Semanal","Diario","Quincenal","No consume","Semanal","Semanal","Diario","Diario","Mensual","Mensual","Mensual","No consume"
"184","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Mensual","Diario","No consume","Quincenal","No consume","Diario","Semanal"
"185","Diario","Diario","Diario","No consume","Semanal","Semanal","Semanal","Diario","Diario","No consume","Mensual","Mensual","No consume"
"186","Diario","Diario","Diario","Semanal","Mensual","Quincenal","Mensual","Semanal","Diario","No consume","Mensual","Mensual","Mensual"
"187","Quincenal","Quincenal","Diario","Quincenal","Diario","Semanal","Semanal","Quincenal","Semanal","Mensual","Quincenal","Quincenal","Mensual"
"188","Semanal","Mensual","Diario","Mensual","Diario","Mensual","Mensual","Semanal","Semanal","Quincenal","Semanal","Semanal","Semanal"
"189","Semanal","Semanal","Diario","Mensual","Semanal","Semanal","Semanal","Semanal","Diario","Mensual","Mensual","Mensual","Mensual"
"190","Semanal","Diario","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Quincenal","Semanal","Semanal","Semanal"
"191","Semanal","Diario","Mensual","No consume","Diario","Diario","Diario","Quincenal","Diario","Mensual","Mensual","Quincenal","No consume"
"192","Diario","Diario","Diario","Mensual","Diario","Diario","Diario","Diario","Diario","No consume","No consume","Mensual","No consume"
"193","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Semanal"
"194","Semanal","Semanal","Diario","Diario","Diario","Diario","Semanal","Semanal","Diario","Quincenal","No consume","Quincenal","No consume"
"195","Diario","Diario","Diario","No consume","Diario","Semanal","Semanal","Diario","Semanal","No consume","No consume","No consume","No consume"
"196","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Quincenal","Quincenal","Quincenal","Mensual"
"197","Semanal","Diario","Diario","Semanal","Diario","Mensual","Quincenal","Diario","Diario","Mensual","Mensual","Mensual","No consume"
"198","Semanal","Semanal","Diario","Semanal","No consume","Semanal","Quincenal","Quincenal","Diario","Semanal","Semanal","Semanal","Semanal"
"199","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Semanal","Quincenal","Mensual","Semanal"
"200","Diario","Diario","Diario","Semanal","No consume","Semanal","Quincenal","Semanal","Diario","Mensual","Semanal","Mensual","No consume"
"201","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Semanal","Diario","Mensual","Mensual","Semanal","No consume"
"202","Diario","Diario","Diario","Semanal","No consume","Semanal","Semanal","Diario","Quincenal","No consume","Mensual","No consume","Quincenal"
"203","Diario","Diario","Diario","Quincenal","Diario","Semanal","Diario","Semanal","Diario","Mensual","Mensual","Mensual","Mensual"
"204","Diario","Semanal","Diario","Diario","Quincenal","Diario","Diario","Diario","Diario","Mensual","Mensual","Quincenal","No consume"
"205","Semanal","Diario","Diario","Quincenal","Semanal","Semanal","Diario","Semanal","Quincenal","No consume","No consume","Semanal","No consume"
"206","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","Quincenal","Quincenal","Semanal","Mensual"
"207","Diario","Diario","Semanal","Quincenal","Semanal","Quincenal","Semanal","Diario","Diario","Quincenal","Diario","Diario","No consume"
"208","Diario","Semanal","Semanal","Diario","Diario","Semanal","Diario","Diario","Diario","No consume","No consume","No consume","No consume"
"209","Semanal","Diario","Diario","Mensual","Semanal","Quincenal","Diario","Semanal","Diario","Mensual","Diario","Diario","Quincenal"
"210","Semanal","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","No consume","No consume","Quincenal","No consume"
"211","Diario","Diario","Diario","Diario","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Semanal","Semanal","Diario"
"212","Diario","Diario","Diario","Semanal","Quincenal","Quincenal","Semanal","Diario","Diario","No consume","Mensual","Mensual","No consume"
